,price,Address,area,Bedrooms,Bathrooms
532,12500000.0,Bhandup,835.0,2.0,2.0
533,15500000.0,Bhandup,852.0,2.0,2.0
534,12900000.0,Bhandup,1030.0,2.0,2.0
535,17000000.0,Bhandup,1050.0,2.0,2.0
536,17000000.0,Bhandup,1245.0,2.0,2.0
537,15000000.0,Bhandup,1050.0,2.0,2.0
538,17000000.0,Bhandup,1050.0,3.0,2.0
540,15000000.0,Bhandup,1053.0,2.0,2.0
541,17500000.0,Bhandup,1043.0,2.0,2.0
542,20000000.0,Bhandup,1350.0,2.0,2.0
543,13500000.0,Bhandup,700.0,2.0,2.0
544,16500000.0,Bhandup,890.0,2.0,2.0
545,22000000.0,Bhandup,1100.0,2.0,2.0
547,25000000.0,Bhandup,1210.0,3.0,3.0
548,14000000.0,Bhandup,1015.0,2.0,2.0
549,13500000.0,Bhandup,825.0,2.0,2.0
550,17000000.0,Bhandup,970.0,2.0,2.0
551,20000000.0,Bhandup,1200.0,2.0,2.0
552,14900000.0,Bhandup,1000.0,2.0,2.0
553,14000000.0,Bhandup,770.0,2.0,2.0
554,13500000.0,Bhandup,825.0,2.0,2.0
555,17900000.0,Bhandup,1000.0,3.0,2.0
556,19900000.0,Bhandup,1284.0,2.0,2.0
557,27000000.0,Bhandup,1641.0,3.0,3.0
559,15000000.0,Bhandup,960.0,2.0,2.0
560,17000000.0,Bhandup,975.0,2.0,2.0
561,25000000.0,Bhandup,1557.0,3.0,3.0
562,13500000.0,Bhandup,815.0,2.0,2.0
563,14000000.0,Bhandup,990.0,2.0,2.0
564,12800000.0,Bhandup,775.0,2.0,2.0
565,18000000.0,Bhandup,1150.0,2.0,2.0
566,13500000.0,Bhandup,950.0,2.0,2.0
567,24000000.0,Bhandup,1200.0,3.0,3.0
568,10500000.0,Bhandup,800.0,2.0,2.0
569,12000000.0,Bhandup,750.0,2.0,2.0
570,12500000.0,Bhandup,895.0,2.0,2.0
571,14700000.0,Bhandup,950.0,2.0,2.0
572,22500000.0,Bhandup,1280.0,3.0,3.0
573,11500000.0,Bhandup,850.0,2.0,2.0
574,21000000.0,Bhandup,1233.0,3.0,2.0
575,20000000.0,Bhandup,1200.0,3.0,2.0
576,13200000.0,Bhandup,970.0,2.0,2.0
577,22500000.0,Bhandup,1215.0,3.0,3.0
578,23600000.0,Bhandup,1420.0,3.0,3.0
579,19000000.0,Bhandup,1050.0,2.0,2.0
580,14000000.0,Bhandup,1040.0,2.0,2.0
581,15500000.0,Bhandup,750.0,2.0,2.0
582,16000000.0,Bhandup,971.0,2.0,2.0
583,24500000.0,Bhandup,1446.0,3.0,2.0
584,16500000.0,Bhandup,850.0,2.0,2.0
585,14000000.0,Bhandup,815.0,2.0,2.0
586,12000000.0,Bhandup,900.0,2.0,2.0
587,9000000.0,Bhandup,680.0,2.0,2.0
588,20400000.0,Bhuleshwar,1277.0,2.0,2.0
589,20000000.0,Bhuleshwar,1650.0,3.0,3.0
590,22500000.0,Borivali,1000.0,3.0,3.0
592,22100000.0,Borivali,1330.0,2.0,2.0
593,17500000.0,Borivali,915.0,2.0,2.0
594,30000000.0,Borivali,1400.0,3.0,3.0
595,26000000.0,Borivali,1250.0,3.0,2.0
596,15000000.0,Borivali,1000.0,2.0,2.0
